variable,count,missing_count,missing_percentage,n_unique,top_value,top_value_frequency
PREV_TRE_CN,1817718,2722831,59.966999585292434,1817718,7189498010497,1
HTCD,3370497,1170052,25.768954370936203,6,1.0,2728817
ELEV,4401678,138871,3.058462754173559,783,300.0,69848
has_plot_match,4540549,0,0.0,1,True,4540549
FLDTYPCD,3469748,1070801,23.58307332439315,154,161.0,526615
has_cond_match,4540549,0,0.0,2,True,4533620
