split,row_count,percentage,target_mean,target_median,target_min,target_max
full,4540549,100.0,494.80082257626253,96.494999,0.006032,180422.108817
train,3178384,69.99999339286946,494.4929015316673,96.49394799999999,0.006032,164746.908386
validation,681082,14.999992291681027,493.9855713125644,96.4953435,0.01198,123412.419611
test,681083,15.00001431544952,497.0530360107285,96.497961,0.017175,180422.108817
